athlete_id,practice_date,event,approach,gear,mark_meters,mark_raw,season
126,2021-02-24,LJ,8-step,spikes,4.65,"15'3""",2020-21
95,2021-02-24,LJ,8-step,spikes,5.89,"19'4""",2020-21
141,2021-02-24,LJ,8-step,spikes,5.05,"16'7""",2020-21
48,2022-01-06,TJ,3/4-step,flats,9.5,"31'2""",2021-22
121,2022-01-06,TJ,3/4-step,flats,11.0,"36'1""",2021-22
149,2022-01-06,TJ,3/4-step,flats,9.73,"31'11""",2021-22
20,2022-01-06,TJ,3/4-step,flats,13.77,"45'2""",2021-22
126,2022-01-06,TJ,3/4-step,flats,11.07,"36'4""",2021-22
18,2022-01-06,TJ,3/4-step,flats,10.64,"34'11""",2021-22
147,2022-01-13,TJ,Short Approach,flats,10.97,36',2021-22
121,2022-01-13,TJ,Short Approach,flats,9.4,"30'10""",2021-22
18,2022-01-13,TJ,Short Approach,flats,12.6,"41'4""",2021-22
126,2022-01-13,TJ,Short Approach,flats,8.84,29',2021-22
20,2022-01-13,TJ,Short Approach,flats,11.63,"38'2""",2021-22
2,2022-01-13,TJ,Short Approach,flats,11.02,"36'2""",2021-22
149,2022-01-20,LJ,6-step,flats,4.39,"14'5""",2021-22
20,2022-01-20,LJ,6-step,flats,5.03,"16'6""",2021-22
48,2022-01-20,LJ,6-step,flats,4.88,16',2021-22
75,2022-01-20,LJ,6-step,flats,5.61,"18'5""",2021-22
146,2022-01-20,LJ,6-step,flats,4.39,"14'5""",2021-22
76,2022-01-20,LJ,6-step,flats,5.44,"17'10""",2021-22
18,2022-01-20,LJ,6-step,flats,5.44,"17'10""",2021-22
132,2022-01-27,TJ,Short Approach,spikes,9.83,"32'3""",2021-22
146,2022-01-27,TJ,Short Approach,spikes,10.11,"33'2""",2021-22
20,2022-01-27,TJ,Short Approach,spikes,12.5,41',2021-22
147,2022-01-27,TJ,Short Approach,spikes,10.34,"33'11""",2021-22
149,2022-02-03,TJ,8-step,flats,9.02,"29'7""",2021-22
146,2022-02-03,TJ,8-step,flats,11.99,"39'4""",2021-22
121,2022-02-03,TJ,7-step,spikes,10.52,"34'6""",2021-22
132,2022-02-03,LJ,7-step,spikes,5.61,"18'5""",2021-22
93,2022-02-03,LJ,7-step,flats,4.67,"15'4""",2021-22
126,2022-02-03,LJ,7-step,spikes,4.8,"15'9""",2021-22
76,2022-02-03,LJ,8-step,flats,6.32,"20'9""",2021-22
147,2022-02-17,TJ,8-step,spikes,12.52,"41'1""",2021-22
126,2022-02-17,LJ,7-step,spikes,5.69,"18'8""",2021-22
48,2022-02-17,LJ,8-step,spikes,6.38,"20'11""",2021-22
132,2022-02-17,TJ,7-step,spikes,12.75,"41'10""",2021-22
95,2022-02-17,TJ,8-step,flats,12.4,"40'8""",2021-22
149,2022-02-17,LJ,8-step,spikes,5.33,"17'6""",2021-22
20,2022-02-17,LJ,8-step,flats,6.65,"21'10""",2021-22
32,2022-02-17,LJ,7-step,spikes,4.67,"15'4""",2021-22
2,2022-02-24,LJ,8-step,spikes,5.23,"17'2""",2021-22
121,2022-02-24,LJ,8-step,spikes,4.27,14',2021-22
126,2022-02-24,LJ,8-step,spikes,5.36,"17'7""",2021-22
93,2022-02-24,LJ,8-step,spikes,4.75,"15'7""",2021-22
95,2023-01-06,TJ,3/4-step,flats,10.01,"32'10""",2022-23
149,2023-01-06,TJ,3/4-step,flats,8.56,"28'1""",2022-23
126,2023-01-06,TJ,3/4-step,flats,12.57,"41'3""",2022-23
81,2023-01-06,TJ,3/4-step,flats,10.34,"33'11""",2022-23
121,2023-01-06,TJ,3/4-step,flats,13.59,"44'7""",2022-23
146,2023-01-06,TJ,3/4-step,flats,9.04,"29'8""",2022-23
75,2023-01-06,TJ,3/4-step,flats,10.69,"35'1""",2022-23
76,2023-01-13,TJ,Short Approach,flats,13.56,"44'6""",2022-23
115,2023-01-13,TJ,Short Approach,flats,13.89,"45'7""",2022-23
132,2023-01-13,TJ,Short Approach,flats,10.34,"33'11""",2022-23
146,2023-01-13,TJ,Short Approach,flats,13.28,"43'7""",2022-23
20,2023-01-13,TJ,Short Approach,flats,11.05,"36'3""",2022-23
18,2023-01-13,TJ,Short Approach,flats,11.18,"36'8""",2022-23
2,2023-01-13,TJ,Short Approach,flats,13.36,"43'10""",2022-23
147,2023-01-20,LJ,6-step,flats,5.61,"18'5""",2022-23
115,2023-01-20,LJ,6-step,flats,5.99,"19'8""",2022-23
48,2023-01-20,LJ,6-step,flats,4.62,"15'2""",2022-23
2,2023-01-20,LJ,6-step,flats,4.95,"16'3""",2022-23
141,2023-01-20,LJ,6-step,flats,6.38,"20'11""",2022-23
126,2023-01-27,TJ,Short Approach,spikes,13.89,"45'7""",2022-23
48,2023-01-27,TJ,Short Approach,spikes,12.5,41',2022-23
114,2023-01-27,TJ,Short Approach,spikes,10.52,"34'6""",2022-23
149,2023-01-27,TJ,Short Approach,spikes,12.42,"40'9""",2022-23
20,2023-01-27,TJ,Short Approach,spikes,8.76,"28'9""",2022-23
121,2023-02-03,TJ,8-step,spikes,10.77,"35'4""",2022-23
15,2023-02-03,LJ,7-step,spikes,6.22,"20'5""",2022-23
32,2023-02-03,TJ,8-step,flats,9.98,"32'9""",2022-23
2,2023-02-03,LJ,7-step,spikes,4.83,"15'10""",2022-23
81,2023-02-03,TJ,8-step,spikes,10.06,33',2022-23
114,2023-02-03,LJ,8-step,spikes,5.36,"17'7""",2022-23
147,2023-02-03,LJ,8-step,spikes,5.64,"18'6""",2022-23
149,2023-02-03,TJ,8-step,flats,8.81,"28'11""",2022-23
141,2023-02-17,TJ,7-step,spikes,10.72,"35'2""",2022-23
48,2023-02-17,TJ,7-step,spikes,13.08,"42'11""",2022-23
29,2023-02-17,LJ,7-step,spikes,4.62,"15'2""",2022-23
15,2023-02-17,TJ,7-step,spikes,11.51,"37'9""",2022-23
95,2023-02-17,LJ,7-step,flats,4.8,"15'9""",2022-23
126,2023-02-17,TJ,8-step,flats,9.68,"31'9""",2022-23
114,2023-02-17,LJ,8-step,spikes,5.82,"19'1""",2022-23
114,2023-02-24,LJ,8-step,spikes,6.05,"19'10""",2022-23
121,2023-02-24,LJ,8-step,spikes,6.68,"21'11""",2022-23
75,2023-02-24,LJ,8-step,spikes,5.03,"16'6""",2022-23
95,2023-02-24,LJ,8-step,spikes,5.16,"16'11""",2022-23
132,2024-01-06,TJ,3/4-step,flats,11.1,"36'5""",2023-24
115,2024-01-06,TJ,3/4-step,flats,10.69,"35'1""",2023-24
96,2024-01-06,TJ,3/4-step,flats,11.15,"36'7""",2023-24
86,2024-01-06,TJ,3/4-step,flats,10.85,"35'7""",2023-24
81,2024-01-06,TJ,3/4-step,flats,14.25,"46'9""",2023-24
121,2024-01-06,TJ,3/4-step,flats,12.32,"40'5""",2023-24
96,2024-01-13,TJ,Short Approach,flats,11.99,"39'4""",2023-24
2,2024-01-13,TJ,Short Approach,flats,11.68,"38'4""",2023-24
76,2024-01-13,TJ,Short Approach,flats,11.18,"36'8""",2023-24
93,2024-01-13,TJ,Short Approach,flats,8.74,"28'8""",2023-24
29,2024-01-20,LJ,6-step,flats,5.46,"17'11""",2023-24
126,2024-01-20,LJ,6-step,flats,6.65,"21'10""",2023-24
95,2024-01-20,LJ,6-step,flats,6.58,"21'7""",2023-24
81,2024-01-20,LJ,6-step,flats,4.29,"14'1""",2023-24
96,2024-01-20,LJ,6-step,flats,5.56,"18'3""",2023-24
18,2024-01-27,TJ,Short Approach,spikes,13.54,"44'5""",2023-24
126,2024-01-27,TJ,Short Approach,spikes,12.78,"41'11""",2023-24
147,2024-01-27,TJ,Short Approach,spikes,13.84,"45'5""",2023-24
121,2024-01-27,TJ,Short Approach,spikes,12.17,"39'11""",2023-24
20,2024-01-27,TJ,Short Approach,spikes,12.9,"42'4""",2023-24
96,2024-01-27,TJ,Short Approach,spikes,11.38,"37'4""",2023-24
115,2024-01-27,TJ,Short Approach,spikes,10.69,"35'1""",2023-24
2,2024-02-03,LJ,8-step,flats,5.51,"18'1""",2023-24
48,2024-02-03,LJ,7-step,spikes,5.84,"19'2""",2023-24
115,2024-02-03,TJ,7-step,flats,10.97,36',2023-24
76,2024-02-03,LJ,7-step,flats,6.43,"21'1""",2023-24
93,2024-02-03,LJ,8-step,spikes,6.58,"21'7""",2023-24
132,2024-02-03,TJ,7-step,flats,11.15,"36'7""",2023-24
32,2024-02-17,TJ,7-step,spikes,9.98,"32'9""",2023-24
96,2024-02-17,TJ,7-step,spikes,9.65,"31'8""",2023-24
29,2024-02-17,TJ,8-step,spikes,12.98,"42'7""",2023-24
121,2024-02-17,LJ,8-step,flats,4.5,"14'9""",2023-24
146,2024-02-17,TJ,7-step,flats,11.23,"36'10""",2023-24
126,2024-02-24,LJ,8-step,spikes,6.27,"20'7""",2023-24
76,2024-02-24,LJ,8-step,spikes,6.5,"21'4""",2023-24
115,2024-02-24,LJ,8-step,spikes,4.34,"14'3""",2023-24
29,2024-02-24,LJ,8-step,spikes,5.77,"18'11""",2023-24
14,2024-02-24,LJ,8-step,spikes,5.77,"18'11""",2023-24
14,2025-01-06,TJ,3/4-step,flats,10.52,"34'6""",2024-25
114,2025-01-06,TJ,3/4-step,flats,9.65,"31'8""",2024-25
76,2025-01-06,TJ,3/4-step,flats,10.92,"35'10""",2024-25
93,2025-01-06,TJ,3/4-step,flats,9.86,"32'4""",2024-25
96,2025-01-06,TJ,3/4-step,flats,9.78,"32'1""",2024-25
51,2025-01-06,TJ,3/4-step,flats,8.89,"29'2""",2024-25
18,2025-01-06,TJ,3/4-step,flats,11.51,"37'9""",2024-25
32,2025-01-13,TJ,Short Approach,flats,12.29,"40'4""",2024-25
15,2025-01-13,TJ,Short Approach,flats,13.61,"44'8""",2024-25
95,2025-01-13,TJ,Short Approach,flats,13.28,"43'7""",2024-25
115,2025-01-13,TJ,Short Approach,flats,9.37,"30'9""",2024-25
126,2025-01-13,TJ,Short Approach,flats,8.99,"29'6""",2024-25
146,2025-01-13,TJ,Short Approach,flats,11.81,"38'9""",2024-25
6,2025-01-20,LJ,6-step,flats,4.52,"14'10""",2024-25
14,2025-01-20,LJ,6-step,flats,5.72,"18'9""",2024-25
76,2025-01-20,LJ,6-step,flats,4.32,"14'2""",2024-25
114,2025-01-20,LJ,6-step,flats,6.6,"21'8""",2024-25
51,2025-01-20,LJ,6-step,flats,6.5,"21'4""",2024-25
132,2025-01-20,LJ,6-step,flats,5.11,"16'9""",2024-25
96,2025-01-27,TJ,Short Approach,spikes,11.71,"38'5""",2024-25
149,2025-01-27,TJ,Short Approach,spikes,9.5,"31'2""",2024-25
81,2025-01-27,TJ,Short Approach,spikes,11.73,"38'6""",2024-25
14,2025-01-27,TJ,Short Approach,spikes,13.21,"43'4""",2024-25
18,2025-01-27,TJ,Short Approach,spikes,12.4,"40'8""",2024-25
147,2025-01-27,TJ,Short Approach,spikes,9.02,"29'7""",2024-25
20,2025-01-27,TJ,Short Approach,spikes,9.27,"30'5""",2024-25
141,2025-02-03,LJ,8-step,spikes,4.34,"14'3""",2024-25
15,2025-02-03,LJ,8-step,spikes,4.34,"14'3""",2024-25
132,2025-02-03,TJ,8-step,spikes,13.08,"42'11""",2024-25
2,2025-02-03,TJ,7-step,flats,10.95,"35'11""",2024-25
86,2025-02-03,LJ,7-step,flats,6.12,"20'1""",2024-25
6,2025-02-03,TJ,8-step,flats,9.7,"31'10""",2024-25
114,2025-02-03,LJ,8-step,spikes,5.64,"18'6""",2024-25
76,2025-02-17,TJ,7-step,spikes,11.13,"36'6""",2024-25
32,2025-02-17,LJ,7-step,spikes,5.77,"18'11""",2024-25
110,2025-02-17,LJ,7-step,spikes,6.6,"21'8""",2024-25
29,2025-02-17,LJ,8-step,spikes,6.27,"20'7""",2024-25
2,2025-02-17,TJ,7-step,flats,14.17,"46'6""",2024-25
75,2025-02-17,LJ,7-step,spikes,6.07,"19'11""",2024-25
73,2025-02-17,LJ,8-step,flats,5.05,"16'7""",2024-25
86,2025-02-17,TJ,8-step,flats,9.63,"31'7""",2024-25
6,2025-02-24,LJ,8-step,spikes,6.5,"21'4""",2024-25
121,2025-02-24,LJ,8-step,spikes,6.02,"19'9""",2024-25
29,2025-02-24,LJ,8-step,spikes,6.35,"20'10""",2024-25
20,2025-02-24,LJ,8-step,spikes,4.7,"15'5""",2024-25
96,2025-02-24,LJ,8-step,spikes,6.22,"20'5""",2024-25
149,2025-02-24,LJ,8-step,spikes,6.6,"21'8""",2024-25
14,2025-02-24,LJ,8-step,spikes,4.5,"14'9""",2024-25
76,2026-01-06,TJ,3/4-step,flats,12.52,"41'1""",2025-26
126,2026-01-06,TJ,3/4-step,flats,9.63,"31'7""",2025-26
149,2026-01-06,TJ,3/4-step,flats,10.34,"33'11""",2025-26
14,2026-01-06,TJ,3/4-step,flats,11.28,37',2025-26
141,2026-01-13,TJ,Short Approach,flats,12.04,"39'6""",2025-26
10,2026-01-13,TJ,Short Approach,flats,9.83,"32'3""",2025-26
126,2026-01-13,TJ,Short Approach,flats,13.56,"44'6""",2025-26
147,2026-01-13,TJ,Short Approach,flats,14.27,"46'10""",2025-26
48,2026-01-20,LJ,6-step,flats,6.63,"21'9""",2025-26
149,2026-01-20,LJ,6-step,flats,4.95,"16'3""",2025-26
14,2026-01-20,LJ,6-step,flats,6.65,"21'10""",2025-26
51,2026-01-20,LJ,6-step,flats,5.66,"18'7""",2025-26
76,2026-01-20,LJ,6-step,flats,5.74,"18'10""",2025-26
96,2026-01-27,TJ,Short Approach,spikes,9.32,"30'7""",2025-26
126,2026-01-27,TJ,Short Approach,spikes,12.12,"39'9""",2025-26
121,2026-01-27,TJ,Short Approach,spikes,11.53,"37'10""",2025-26
48,2026-01-27,TJ,Short Approach,spikes,12.78,"41'11""",2025-26
96,2026-02-03,LJ,8-step,spikes,5.77,"18'11""",2025-26
126,2026-02-03,TJ,8-step,flats,10.97,36',2025-26
75,2026-02-03,LJ,8-step,spikes,5.41,"17'9""",2025-26
51,2026-02-03,TJ,7-step,flats,11.23,"36'10""",2025-26
114,2026-02-03,TJ,7-step,flats,11.46,"37'7""",2025-26
15,2026-02-03,LJ,7-step,spikes,4.67,"15'4""",2025-26
115,2026-02-03,LJ,7-step,spikes,5.23,"17'2""",2025-26
48,2026-02-17,TJ,7-step,spikes,10.92,"35'10""",2025-26
93,2026-02-17,LJ,7-step,spikes,6.1,20',2025-26
114,2026-02-17,TJ,8-step,spikes,12.14,"39'10""",2025-26
126,2026-02-17,LJ,8-step,flats,4.83,"15'10""",2025-26
141,2026-02-17,LJ,7-step,flats,6.02,"19'9""",2025-26
15,2026-02-17,TJ,8-step,spikes,11.53,"37'10""",2025-26
76,2026-02-17,TJ,7-step,spikes,8.84,29',2025-26
15,2026-02-24,LJ,8-step,spikes,6.05,"19'10""",2025-26
149,2026-02-24,LJ,8-step,spikes,6.32,"20'9""",2025-26
76,2026-02-24,LJ,8-step,spikes,5.03,"16'6""",2025-26
121,2026-02-24,LJ,8-step,spikes,4.75,"15'7""",2025-26
29,2026-02-24,LJ,8-step,spikes,6.2,"20'4""",2025-26
51,2026-02-24,LJ,8-step,spikes,4.55,"14'11""",2025-26
132,2026-02-24,LJ,8-step,spikes,5.87,"19'3""",2025-26
